trial,worker,game,opponent,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,EARLY_GAME_TARGET_LENGTH,result,survival,final_length,optuna_score
3,4,0,Vanilla,1.7175,11,14.5313,7,loss,0.1267,4,0.0315
3,4,1,Vanilla,1.7175,11,14.5313,7,win,0.19,5,0.7535
3,4,2,Heuristic,1.7175,11,14.5313,7,win,0.4167,20,0.9125
3,4,3,RahulMCTS,1.7175,11,14.5313,7,win,0.0267,4,0.7165
3,4,4,Heuristic,1.7175,11,14.5313,7,loss,0.1667,3,0.025
3,4,5,RahulMCTS,1.7175,11,14.5313,7,win,0.0633,4,0.722
3,4,6,RahulMCTS,1.7175,11,14.5313,7,win,0.0067,3,0.701
3,4,7,Heuristic,1.7175,11,14.5313,7,win,0.5867,14,0.9255
3,4,8,RahulMCTS,1.7175,11,14.5313,7,win,0.0333,3,0.705
3,4,9,Heuristic,1.7175,11,14.5313,7,loss,0.1033,4,0.028
3,4,10,Heuristic,1.7175,11,14.5313,7,loss,0.4767,10,0.159
3,4,11,RahulMCTS,1.7175,11,14.5313,7,win,0.0333,3,0.705
3,4,12,Vanilla,1.7175,11,14.5313,7,loss,0.2333,7,0.085
3,4,13,Heuristic,1.7175,11,14.5313,7,loss,0.0867,3,0.013
3,4,14,RahulMCTS,1.7175,11,14.5313,7,win,0.0067,3,0.701
3,4,15,Heuristic,1.7175,11,14.5313,7,win,0.4767,12,0.884
3,4,16,Vanilla,1.7175,11,14.5313,7,loss,0.4833,8,0.135
3,4,17,Vanilla,1.7175,11,14.5313,7,win,0.2933,6,0.7815
3,4,18,RahulMCTS,1.7175,11,14.5313,7,win,0.02,3,0.703
3,4,19,RahulMCTS,1.7175,11,14.5313,7,win,0.0333,4,0.7175
0,1,0,Heuristic,1.277,11,5.6246,17,win,0.4,13,0.885
0,1,1,RahulMCTS,1.277,11,5.6246,17,win,0.0067,3,0.701
0,1,2,Heuristic,1.277,11,5.6246,17,win,0.3067,9,0.821
0,1,3,Vanilla,1.277,11,5.6246,17,loss,0.12,4,0.0305
0,1,4,Heuristic,1.277,11,5.6246,17,win,0.2333,10,0.8225
0,1,5,Vanilla,1.277,11,5.6246,17,loss,0.29,8,0.106
0,1,6,Vanilla,1.277,11,5.6246,17,win,0.2,5,0.755
0,1,7,Vanilla,1.277,11,5.6246,17,win,0.1167,4,0.73
0,1,8,RahulMCTS,1.277,11,5.6246,17,win,0.0333,4,0.7175
0,1,9,Vanilla,1.277,11,5.6246,17,loss,0.2133,6,0.0695
0,1,10,Heuristic,1.277,11,5.6246,17,win,0.2733,6,0.7785
0,1,11,Heuristic,1.277,11,5.6246,17,loss,0.0967,3,0.0145
0,1,12,Vanilla,1.277,11,5.6246,17,loss,0.32,6,0.0855
0,1,13,Heuristic,1.277,11,5.6246,17,loss,0.38,6,0.0945
0,1,14,Vanilla,1.277,11,5.6246,17,win,0.1467,6,0.7595
0,1,15,Vanilla,1.277,11,5.6246,17,win,0.43,10,0.852
0,1,16,RahulMCTS,1.277,11,5.6246,17,win,0.0333,3,0.705
0,1,17,Heuristic,1.277,11,5.6246,17,loss,0.3633,7,0.1045
0,1,18,RahulMCTS,1.277,11,5.6246,17,win,0.0067,3,0.701
0,1,19,Vanilla,1.277,11,5.6246,17,win,0.3267,14,0.8865
5,3,0,Heuristic,0.4594,13,6.836,21,win,0.4867,10,0.8605
5,3,1,RahulMCTS,0.4594,13,6.836,21,win,0.0267,3,0.704
5,3,2,Vanilla,0.4594,13,6.836,21,loss,0.3567,8,0.116
5,3,3,Vanilla,0.4594,13,6.836,21,win,0.3767,10,0.844
5,3,4,RahulMCTS,0.4594,13,6.836,21,win,0.05,4,0.72
5,3,5,Vanilla,0.4594,13,6.836,21,win,0.2433,8,0.799
5,3,6,RahulMCTS,0.4594,13,6.836,21,win,0.0067,3,0.701
5,3,7,RahulMCTS,0.4594,13,6.836,21,win,0.0333,3,0.705
5,3,8,RahulMCTS,0.4594,13,6.836,21,win,0.0067,3,0.701
5,3,9,Vanilla,0.4594,13,6.836,21,win,0.3233,9,0.8235
5,3,10,RahulMCTS,0.4594,13,6.836,21,win,0.0867,5,0.738
5,3,11,Vanilla,0.4594,13,6.836,21,loss,0.1933,6,0.0665
5,3,12,RahulMCTS,0.4594,13,6.836,21,win,0.04,3,0.706
5,3,13,Vanilla,0.4594,13,6.836,21,win,0.3033,9,0.8205
5,3,14,Heuristic,0.4594,13,6.836,21,win,0.24,5,0.761
