trial,worker,game,opponent,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,RAVE_K,PHASE_LATE_TURN,PHASE_LATE_LENGTH,FOOD_WEIGHT_EARLY,SPACE_WEIGHT_LATE,CENTER_WEIGHT_LATE,CORNER_WEIGHT_LATE,KILL_WEIGHT_LATE,result,survival,final_length,optuna_score
0,7,0,MCTS3,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.6533,10,0.1855
0,7,1,Heuristic,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.4033,10,0.148
0,7,2,MCTS3,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.19,4,0.041
0,7,3,Vanilla,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.2133,7,0.082
0,7,4,Heuristic,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.1,5,0.04
0,7,5,Heuristic,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.13,5,0.0445
0,7,6,Vanilla,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.5033,13,0.2005
0,7,7,Heuristic,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,win,0.2467,8,0.7995
0,7,8,MCTS3,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,win,0.58,14,0.9245
0,7,9,Vanilla,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.0967,4,0.027
0,7,10,Heuristic,0.9306,23,10.5121,1111.5,55,15,2.0628,4.1933,0.2477,1.6991,6.9352,loss,0.2,7,0.08
5,5,0,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.0867,4,0.0255
5,5,1,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.0733,5,0.036
5,5,2,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.2333,5,0.76
5,5,3,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.2867,6,0.7805
5,5,4,MCTS3,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.08,5,0.037
5,5,5,MCTS3,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.3533,10,0.8405
5,5,6,MCTS3,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.5233,12,0.191
5,5,7,MCTS3,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.2667,9,0.115
5,5,8,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.2,8,0.0925
5,5,9,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.1767,6,0.764
5,5,10,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.4033,11,0.1605
5,5,11,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.32,11,0.848
5,5,12,Vanilla,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,draw,0.1233,6,0.056
5,5,13,Vanilla,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.2433,5,0.7615
5,5,14,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.3433,8,0.114
5,5,15,Vanilla,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,loss,0.0733,4,0.0235
5,5,16,Vanilla,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.15,6,0.76
5,5,17,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.2267,7,0.784
5,5,18,Vanilla,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.1467,7,0.772
5,5,19,Heuristic,1.229,21,6.1092,566.8,50,10,4.6333,1.2341,3.3684,0.6306,4.5601,win,0.1733,8,0.7885
3,2,0,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.1933,7,0.079
3,2,1,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.2767,6,0.779
3,2,2,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.15,6,0.06
3,2,3,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.2033,6,0.068
3,2,4,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.2867,9,0.118
3,2,5,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.16,7,0.074
3,2,6,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.1633,6,0.762
3,2,7,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.2333,7,0.785
3,2,8,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.0533,6,0.7455
3,2,9,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.13,5,0.7445
3,2,10,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.3067,6,0.0835
3,2,11,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.11,5,0.0415
3,2,12,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.2433,6,0.774
3,2,13,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.37,14,0.193
3,2,14,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.56,12,0.8965
3,2,15,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.33,6,0.087
3,2,16,Heuristic,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.0933,4,0.0265
3,2,17,Vanilla,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.2233,6,0.071
3,2,18,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,win,0.4233,15,0.9135
3,2,19,MCTS3,1.2198,9,7.673,794.5,78,11,2.8328,2.9743,2.7483,3.1113,6.3718,loss,0.5167,7,0.1275
2,4,0,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.4067,8,0.8235
2,4,1,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.1267,4,0.0315
2,4,2,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.06,5,0.034
2,4,3,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.3367,7,0.1005
2,4,4,MCTS3,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.23,7,0.7845
2,4,5,Heuristic,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.3633,6,0.092
2,4,6,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.1867,6,0.7655
2,4,7,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.2033,6,0.768
2,4,8,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,loss,0.2533,6,0.0755
2,4,9,Vanilla,0.5471,17,19.5157,486.3,35,11,5.3699,4.3024,0.0281,2.8835,3.1153,win,0.1233,7,0.7685
