Trial_Number,C_PARAM,DEPTH_LIMIT,MCTS_Wins,Heuristic_Losses,Draws,Optuna_Score
0,0.553,14,1,9,0,0.1
1,1.254,5,2,8,0,0.2
2,0.716,6,0,7,0,0.0
3,0.851,9,2,8,0,0.2
4,0.78,12,1,9,0,0.1
5,2.285,6,2,8,0,0.2
6,0.758,12,0,7,0,0.0
7,2.534,5,3,7,0,0.3
8,0.695,5,0,7,0,0.0
9,2.708,10,0,7,0,0.0
10,1.959,18,3,7,0,0.3
11,1.897,20,2,7,1,0.25
12,2.847,19,4,6,0,0.4
13,2.992,16,3,6,1,0.35
14,2.92,16,0,7,0,0.0
15,2.965,20,2,8,0,0.2
16,2.323,16,1,9,0,0.1
17,1.453,17,0,7,0,0.0
18,1.939,15,2,8,0,0.2
19,0.106,18,1,9,0,0.1
20,2.621,19,2,8,0,0.2
21,2.504,3,6,4,0,0.6
22,2.988,3,3,7,0,0.3
23,2.339,9,3,7,0,0.3
24,2.717,14,0,7,0,0.0
25,2.162,14,2,8,0,0.2
26,2.534,18,3,7,0,0.3
27,2.825,11,1,9,0,0.1
28,1.77,16,3,7,0,0.3
29,2.498,13,2,8,0,0.2
30,2.752,8,0,7,0,0.0
31,2.498,3,3,7,0,0.3
32,2.124,4,3,6,1,0.35
33,2.203,4,1,9,0,0.1
34,1.15,7,2,8,0,0.2
35,2.094,3,0,7,0,0.0
36,2.415,7,2,8,0,0.2
37,1.655,4,0,7,0,0.0
38,2.818,19,2,8,0,0.2
39,2.855,7,3,7,0,0.3
