Trial_Number,C_PARAM,DEPTH_LIMIT,MCTS_Wins,Heuristic_Losses,Draws,Optuna_Score
0,1.989,14,0,3,0,0.0
1,2.14,18,1,7,0,0.125
2,1.707,20,0,3,0,0.0
3,0.143,11,0,3,0,0.0
4,2.044,16,0,3,0,0.0
5,0.162,13,0,3,0,0.0
6,0.543,16,0,3,0,0.0
7,1.461,17,0,3,0,0.0
8,0.15,3,0,3,0,0.0
9,0.137,8,0,3,0,0.0
10,2.763,20,0,3,0,0.0
11,2.546,12,0,3,0,0.0
12,2.221,14,3,5,0,0.375
13,2.391,9,1,7,0,0.125
14,1.236,18,0,3,0,0.0
15,2.952,15,1,6,1,0.188
16,2.971,9,1,7,0,0.125
17,2.986,15,4,4,0,0.5
18,2.465,10,2,6,0,0.25
19,0.984,5,0,3,0,0.0
20,1.749,7,0,3,0,0.0
21,2.458,11,0,3,0,0.0
22,2.649,13,0,3,0,0.0
23,2.269,10,0,3,0,0.0
24,2.7,14,0,3,0,0.0
25,2.82,12,1,6,1,0.188
26,2.268,7,3,5,0,0.375
27,1.912,6,1,7,0,0.125
28,2.263,14,2,6,0,0.25
29,1.855,3,0,3,0,0.0
30,1.221,5,3,5,0,0.375
31,1.136,4,0,3,0,0.0
32,1.509,6,0,3,0,0.0
33,0.824,7,0,3,0,0.0
34,1.336,5,0,3,0,0.0
35,2.058,18,0,3,0,0.0
36,1.722,15,0,3,0,0.0
37,2.141,13,0,3,0,0.0
38,0.581,16,0,3,0,0.0
39,1.646,15,2,6,0,0.25
